athleteId,hand,rank
1455,L,100.0
2224,R,85.0
2736,L,
3495,L,396.0
4057,R,58.0
4202,R,120.0
4388,R,350.0
4701,R,169.0
5443,L,163.0
5629,L,277.0
6424,R,
6783,L,
8280,L,136.0
8745,R,
9122,L,207.0
9283,R,
9377,L,5.0
9746,L,19.0
9993,R,
10213,R,21.0
10402,L,
11034,R,168.0
12094,R,
12269,R,
12529,R,40.0
12591,L,
12678,R,
13191,R,296.0
13428,R,
13682,R,90.0
13741,R,1.0
14560,L,87.0
14958,R,
15163,R,102.0
15336,R,140.0
15375,R,
15780,R,249.0
16054,R,
16396,L,
17204,R,
17514,R,67.0
17715,L,
17823,R,14.0
18021,L,3.0
18515,L,9.0
18732,R,151.0
18876,R,9.0
19030,R,
19403,R,76.0
19616,R,49.0
19878,R,2.0
20135,R,89.0
20398,L,
20482,R,430.0
20556,R,207.0
20744,R,
20938,R,35.0
21253,R,
21484,R,227.0
21621,L,24.0
21729,R,154.0
21958,R,15.0
22214,R,178.0
22358,L,275.0
22449,R,12.0
22559,R,2.0
22660,L,
22963,L,22.0
23170,R,8.0
23338,R,159.0
23553,R,
23941,R,
24108,L,10.0
24278,R,147.0
24678,R,
24911,R,113.0
24970,L,19.0
25142,R,
25197,R,52.0
25293,L,93.0
25456,R,79.0
25842,R,
25921,R,30.0
26050,L,42.0
26147,R,81.0
26304,R,26.0
26548,R,149.0
26595,R,55.0
26695,L,101.0
26736,R,
26859,R,22.0
26906,R,68.0
26977,R,54.0
27182,R,77.0
27237,R,
27294,L,287.0
27431,R,50.0
27584,R,
27947,R,
28086,R,
28333,R,49.0
28460,R,102.0
28626,R,86.0
28646,R,8.0
28701,R,25.0
28757,R,151.0
28876,R,73.0
28960,R,
29054,R,19.0
29134,R,55.0
29203,L,
29233,R,41.0
29257,R,51.0
29536,,
29878,R,83.0
29945,L,105.0
29970,L,70.0
30104,L,148.0
30258,R,300.0
30390,R,12.0
30539,R,82.0
30627,R,78.0
30830,L,468.0
30970,R,355.0
31008,R,170.0
31040,R,374.0
31102,R,32.0
31148,R,332.0
31214,R,138.0
31300,L,1.0
31438,L,8.0
31612,R,69.0
31844,R,
31870,L,
31919,R,10.0
31974,R,366.0
32026,R,2.0
32232,L,41.0
32262,R,31.0
32285,R,116.0
32382,R,37.0
32394,R,242.0
32464,R,58.0
32575,R,163.0
32708,L,44.0
32745,L,105.0
32874,R,161.0
32938,R,126.0
32993,L,88.0
33063,R,211.0
33102,L,95.0
33198,R,
33675,L,222.0
33842,R,404.0
33874,R,5.0
34051,L,14.0
34259,R,32.0
34297,R,116.0
34354,L,214.0
34396,R,26.0
34445,R,139.0
34551,R,288.0
34620,R,28.0
34663,R,123.0
34789,R,
34901,L,41.0
34946,R,224.0
34991,R,90.0
35103,R,164.0
35113,L,21.0
35208,L,56.0
35225,R,571.0
35322,R,179.0
35649,L,250.0
35856,R,168.0
36104,R,46.0
36390,R,158.0
36458,L,232.0
36529,R,31.0
36713,R,227.0
36796,R,85.0
36874,R,18.0
36990,R,3.0
37023,L,36.0
37131,R,155.0
37198,R,32.0
37412,R,192.0
37692,R,438.0
37790,R,320.0
37871,R,54.0
37965,L,229.0
38075,R,35.0
38602,R,120.0
38772,R,431.0
38896,L,
39019,R,168.0
39134,R,233.0
39151,R,17.0
39244,R,12.0
39355,R,30.0
39466,L,34.0
39578,R,167.0
39631,R,21.0
40003,R,168.0
40032,R,171.0
40217,L,61.0
40354,L,39.0
40410,R,241.0
40491,R,
40521,R,327.0
40851,R,193.0
40947,R,137.0
41587,R,140.0
41767,R,362.0
42078,R,64.0
42177,R,69.0
42345,L,266.0
42695,R,460.0
42855,L,58.0
42882,R,80.0
43131,R,110.0
43269,R,416.0
43327,R,122.0
43449,L,16.0
43593,R,125.0
43803,R,17.0
44217,R,45.0
44830,R,23.0
45300,R,212.0
45400,R,78.0
45628,R,155.0
45813,L,
45922,R,208.0
46126,R,
46391,L,106.0
46526,R,
46779,R,92.0
47191,R,340.0
48138,L,134.0
48607,R,
48724,L,132.0
48872,R,357.0
49110,R,194.0
49725,R,30.0
49773,R,366.0
50217,R,90.0
51379,R,247.0
51586,R,101.0
51984,R,430.0
52396,R,118.0
52688,L,260.0
